product_name,title,owner,redeems_count,creation_date,active
Replit,1 month free on Teams plan (3 seats),Secret,0,01/31/25,true
AWS,5000 in AWS credits,Secret,0,01/31/25,true
Notion,6 months free Plus plan,Secret,0,01/31/25,true
Stripe,Waived fees on next $20000,Secret,0,01/31/25,true
HubSpot,75% off for one year,Secret,0,01/31/25,true
Google Workspace,20% off new plans,Secret,0,01/31/25,true
Google Cloud,$2000 in credits,Secret,0,01/31/25,true
Airtable,$1000 in credits,Secret,0,01/31/25,true
Zendesk,Six months free,Secret,0,01/31/25,true
Webflow,One year free CMS plan,Secret,0,01/31/25,true
OpenAI,$2500 in credits,Secret,0,01/31/25,true
Miro,$1000 in credits,Secret,0,01/31/25,true
Intercom,One year free Advanced plan,Secret,0,01/31/25,true
Microsoft Azure,$25000 in Azure Cloud credits,Secret,0,01/31/25,true
Algolia,$10000 in credits,Secret,0,01/31/25,true
GitHub,20 seats Enterprise plan free,Secret,0,01/31/25,true
DigitalOcean,Cloud Infrastructure Credits,Secret,0,01/31/25,true